overall_rank,player,role,innings,runs_scored,strike_rate,batting_avg,consistency_score,recent_sr,BPI,matches,wickets,economy,dot_pct,recent_economy,BoPI,PVS,auction_price,value_ratio,valuation
130,Yuvraj Singh,Batter,126.0,2754.0,129.78,25.27,118.86,,61.7,,,,,,,61.7,,,
131,VG Arora,Bowler,,,,,,,,39.0,45.0,9.15,37.84,8.93,61.67,61.67,,,
132,AT Rayudu,Batter,185.0,4348.0,127.54,28.61,113.15,139.82,61.63,,,,,,,61.63,,,
133,R Sharma,Bowler,,,,,,,,44.0,40.0,6.97,37.07,,61.58,61.58,,,
134,MK Lomror,Batter,35.0,527.0,141.29,18.17,98.73,157.58,61.57,,,,,,,61.57,,,
135,PP Ojha,Bowler,,,,,,,,90.0,89.0,7.12,37.28,,61.35,61.35,,,
136,DL Vettori,Bowler,,,,,,,,34.0,28.0,6.73,36.42,,61.34,61.34,,,
137,KS Williamson,Batter,76.0,2132.0,125.63,36.14,119.22,,61.33,,,,,,,61.33,,,
138,Harmeet Singh,Bowler,,,,,,,,27.0,26.0,7.54,38.29,,61.33,61.33,,,
139,V Shankar,Batter,63.0,1233.0,129.79,26.8,113.64,143.02,61.23,22.0,9.0,7.93,33.61,,52.77,61.23,,,
140,DJ Bravo,Allrounder,110.0,1560.0,129.57,22.61,94.22,,56.43,158.0,183.0,8.0,33.78,,55.96,61.2,4.2,14.57,Budget Pick 🔵
141,OA Shah,Batter,22.0,506.0,130.08,38.92,106.53,,61.19,,,,,,,61.19,,,
142,SN Khan,Batter,43.0,746.0,137.38,20.72,108.04,,61.12,,,,,,,61.12,,,
143,Harpreet Brar,Allrounder,26.0,244.0,120.2,18.77,111.59,127.78,51.11,47.0,35.0,7.77,34.37,7.96,61.1,61.11,,,
144,IK Pathan,Allrounder,82.0,1150.0,121.05,22.12,111.4,,52.02,101.0,80.0,7.54,43.32,,60.12,61.07,,,
145,Azhar Mahmood,Allrounder,21.0,388.0,128.05,20.42,89.77,,51.2,23.0,29.0,7.52,38.36,,60.61,60.91,,,
146,Mustafizur Rahman,Bowler,,,,,,,,60.0,65.0,7.83,37.46,8.71,60.7,60.7,,,
147,KK Cooper,Bowler,,,,,,,,25.0,33.0,7.55,36.28,,60.68,60.68,,,
148,R Ashwin,Allrounder,93.0,833.0,118.16,13.44,86.67,120.0,43.98,217.0,187.0,6.95,35.31,7.93,67.34,60.66,5.0,12.13,Budget Pick 🔵
149,B Lee,Bowler,,,,,,,,38.0,25.0,7.06,45.71,,60.65,60.65,,,
150,MJ McClenaghan,Bowler,,,,,,,,56.0,71.0,7.98,41.92,,60.59,60.59,,,
151,SR Tendulkar,Batter,78.0,2334.0,119.82,32.87,132.07,,60.34,,,,,,,60.34,,,
152,MC Henriques,Allrounder,54.0,1000.0,126.9,26.32,108.34,,57.12,60.0,42.0,7.93,33.16,,52.93,60.02,,,
153,KK Nair,Batter,77.0,1699.0,131.6,23.27,103.0,,59.76,,,,,,,59.76,,,
154,PWH de Silva,Bowler,,,,,,,,37.0,46.0,8.32,34.59,8.89,59.75,59.75,,,
155,Imran Tahir,Bowler,,,,,,,,59.0,82.0,7.56,34.27,,59.66,59.66,,,
156,L Ngidi,Bowler,,,,,,,,22.0,36.0,8.16,38.72,,59.63,59.63,,,
157,SM Curran,Allrounder,53.0,997.0,136.39,24.32,96.95,130.43,59.98,63.0,59.0,9.43,33.04,10.04,49.25,59.61,,,
158,MP Stoinis,Allrounder,104.0,2136.0,147.51,28.48,95.33,153.95,67.95,73.0,44.0,9.48,29.22,9.69,40.94,59.45,,,
159,Shakib Al Hasan,Allrounder,52.0,795.0,124.41,20.38,101.09,,50.91,70.0,63.0,7.29,35.24,,57.95,59.43,,,
160,PP Chawla,Allrounder,86.0,624.0,110.83,10.95,109.94,108.11,41.53,191.0,192.0,7.83,35.27,8.26,67.27,59.4,,,
161,Mohsin Khan,Bowler,,,,,,,,27.0,36.0,7.87,44.85,9.96,59.4,59.4,,,
162,STR Binny,Allrounder,66.0,880.0,128.84,20.0,110.58,,54.57,63.0,22.0,7.48,34.34,,54.05,59.31,,,
163,S Aravind,Bowler,,,,,,,,38.0,45.0,7.95,39.74,,59.26,59.26,,,
164,DR Smith,Allrounder,88.0,2385.0,135.2,29.44,116.72,,62.66,46.0,26.0,8.7,33.21,,45.82,59.24,,,
165,BA Stokes,Allrounder,43.0,935.0,133.95,22.8,91.99,,56.63,38.0,28.0,8.3,36.28,,51.46,59.05,,,
166,CL White,Batter,45.0,971.0,127.76,27.74,95.54,,58.95,,,,,,,58.95,,,
167,M Theekshana,Bowler,,,,,,,,38.0,36.0,8.03,31.16,8.23,58.74,58.74,,,
168,JP Faulkner,Allrounder,45.0,527.0,135.13,18.82,100.8,,55.62,60.0,61.0,8.44,35.54,,51.82,58.72,,,
169,SK Trivedi,Bowler,,,,,,,,75.0,65.0,7.26,35.06,,58.72,58.72,,,
170,D Padikkal,Batter,81.0,2048.0,131.62,26.6,116.68,130.94,58.66,,,,,,,58.66,,,
171,JH Kallis,Allrounder,95.0,2427.0,109.23,27.27,113.91,,52.65,89.0,65.0,7.61,36.74,,54.56,58.61,,,
172,RA Tripathi,Batter,98.0,2291.0,137.85,26.64,108.1,128.05,58.57,,,,,,,58.57,,,
173,BJ Hodge,Batter,63.0,1400.0,125.22,30.43,115.85,,58.56,20.0,17.0,7.54,33.76,,61.85,58.56,,,
174,J Botha,Allrounder,28.0,409.0,113.93,18.59,95.33,,44.11,34.0,25.0,6.75,38.62,,62.88,58.5,,,
175,JJ Bumrah,Allrounder,29.0,75.0,87.21,9.38,74.1,,23.23,152.0,188.0,6.96,42.3,6.23,83.65,58.44,14.0,4.17,Overvalued ⚠️
176,AB Dinda,Bowler,,,,,,,,75.0,69.0,7.76,42.74,,58.39,58.39,,,
177,L Balaji,Bowler,,,,,,,,73.0,76.0,7.71,38.49,,58.2,58.2,,,
178,DJ Hussey,Batter,61.0,1322.0,122.98,27.54,117.24,,58.19,26.0,8.0,8.84,29.02,,33.09,58.19,,,
179,P Awana,Bowler,,,,,,,,33.0,39.0,7.95,41.1,,58.16,58.16,,,
180,DW Steyn,Allrounder,33.0,167.0,104.38,7.59,94.08,,34.38,95.0,97.0,6.58,48.76,,71.94,58.16,,,
181,NLTC Perera,Allrounder,30.0,424.0,137.22,17.67,121.76,,58.4,36.0,31.0,8.56,34.1,,47.65,58.02,,,
182,R Dravid,Batter,82.0,2174.0,115.52,28.23,135.82,,58.02,,,,,,,58.02,,,
183,TA Boult,Allrounder,24.0,86.0,103.61,9.56,71.24,,31.4,122.0,144.0,8.18,42.28,8.23,74.6,58.0,8.0,7.25,Budget Pick 🔵
184,MJ Santner,Allrounder,21.0,136.0,110.57,17.0,94.4,103.7,41.87,35.0,30.0,7.26,36.1,7.39,63.97,57.92,,,
185,SN Thakur,Allrounder,42.0,339.0,134.52,12.56,68.08,153.54,52.38,107.0,114.0,9.06,34.68,9.87,53.47,57.92,,,
186,Mohammed Siraj,Allrounder,22.0,112.0,88.89,10.18,103.73,,29.41,116.0,117.0,8.18,44.06,8.08,75.66,57.53,7.0,8.22,Budget Pick 🔵
187,P Negi,Allrounder,35.0,365.0,126.3,14.04,107.99,,50.51,42.0,34.0,7.73,34.78,,54.39,57.45,,,
188,Yash Dayal,Bowler,,,,,,,,43.0,41.0,9.09,36.62,9.18,57.4,57.4,,,
189,HV Patel,Allrounder,43.0,274.0,117.6,9.79,79.71,78.43,34.5,119.0,151.0,8.38,34.49,8.97,70.26,57.38,8.25,6.96,Budget Pick 🔵
190,R Sai Kishore,Bowler,,,,,,,,25.0,32.0,8.69,30.39,9.04,57.38,57.38,,,
191,AJ Finch,Batter,90.0,2092.0,127.95,24.9,105.85,,57.16,,,,,,,57.16,,,
192,G Gambhir,Batter,151.0,4217.0,123.88,31.47,115.64,,57.14,,,,,,,57.14,,,
193,T Natarajan,Bowler,,,,,,,,71.0,73.0,8.74,31.84,8.94,57.05,57.05,,,
194,MV Boucher,Batter,23.0,394.0,127.51,26.27,108.95,,56.81,,,,,,,56.81,,,
195,M Vijay,Batter,105.0,2619.0,121.87,27.28,103.38,,56.79,,,,,,,56.79,,,
196,SW Billings,Batter,27.0,503.0,129.64,19.35,110.17,,56.71,,,,,,,56.71,,,
197,PC Valthaty,Batter,23.0,505.0,120.81,22.95,75.75,,56.68,,,,,,,56.68,,,
198,AD Mathews,Allrounder,41.0,724.0,125.91,23.35,118.51,,55.15,44.0,27.0,8.0,29.96,,48.06,56.61,,,
199,GJ Bailey,Batter,36.0,663.0,121.88,22.86,119.14,,56.59,,,,,,,56.59,,,
200,JD Ryder,Batter,29.0,604.0,131.88,20.83,93.47,,56.54,,,,,,,56.54,,,
201,RJ Harris,Allrounder,21.0,117.0,104.46,9.75,99.02,,35.08,37.0,45.0,7.18,46.88,,67.9,56.49,,,
202,R Bhatia,Allrounder,47.0,342.0,120.42,11.79,104.62,,47.24,91.0,71.0,7.28,28.55,,55.21,56.23,,,
203,DPMD Jayawardene,Batter,78.0,1808.0,123.5,28.25,104.61,,56.23,,,,,,,56.23,,,
204,RN ten Doeschate,Batter,21.0,326.0,138.72,19.18,88.33,,55.99,,,,,,,55.99,,,
205,JO Holder,Allrounder,28.0,282.0,127.6,13.43,96.09,,49.05,48.0,54.0,8.34,34.74,,52.83,55.94,,,
206,WP Saha,Batter,143.0,2934.0,127.57,24.86,100.85,126.12,55.74,,,,,,,55.74,,,
207,Umran Malik,Bowler,,,,,,,,26.0,29.0,8.81,44.02,,55.27,55.27,,,
208,Shivam Mavi,Bowler,,,,,,,,32.0,30.0,8.23,41.14,,55.09,55.09,,,
209,KC Sangakkara,Batter,68.0,1687.0,121.19,24.45,115.78,,55.01,,,,,,,55.01,,,
210,DT Christian,Allrounder,41.0,460.0,115.58,16.43,106.79,,45.66,49.0,38.0,7.8,35.79,,54.27,54.97,,,
211,CJ Anderson,Batter,29.0,538.0,127.19,24.45,85.51,,54.92,22.0,11.0,10.04,28.96,,31.3,54.92,,,
212,MK Pandey,Batter,160.0,3951.0,121.64,29.49,109.79,121.49,54.88,,,,,,,54.88,,,
213,K Rabada,Allrounder,32.0,250.0,108.23,13.16,83.58,,38.41,92.0,135.0,8.34,40.96,9.33,61.35,54.88,,,
214,SS Tiwary,Batter,73.0,1494.0,120.1,30.49,121.18,,54.88,,,,,,,54.88,,,
215,Washington Sundar,Allrounder,51.0,668.0,130.72,18.05,97.03,136.88,53.79,66.0,40.0,7.66,33.91,9.79,45.92,54.86,,,
216,C de Grandhomme,Batter,21.0,303.0,134.67,20.2,100.69,,54.85,,,,,,,54.85,,,
217,LRPL Taylor,Batter,54.0,1017.0,123.72,24.8,112.58,,54.84,,,,,,,54.84,,,
218,R Dhawan,Allrounder,22.0,210.0,112.3,21.0,122.29,,47.76,36.0,25.0,7.7,32.93,,51.9,54.83,,,
219,EJG Morgan,Batter,74.0,1406.0,122.47,23.05,108.4,,54.82,,,,,,,54.82,,,
220,CR Woakes,Bowler,,,,,,,,21.0,30.0,8.65,39.32,,54.7,54.7,,,
221,MG Johnson,Allrounder,28.0,167.0,101.83,11.93,117.73,,37.76,54.0,62.0,7.89,45.1,,61.52,54.64,,,
222,KV Sharma,Allrounder,40.0,352.0,119.32,14.08,95.29,,45.37,87.0,83.0,8.29,34.01,9.85,53.91,54.64,,,
223,B Kumar,Allrounder,73.0,332.0,92.22,8.97,84.7,78.22,25.54,198.0,212.0,7.39,43.65,8.74,73.75,54.64,2.4,22.77,Budget Pick 🔵
224,TM Dilshan,Batter,50.0,1153.0,114.5,28.12,105.1,,54.56,25.0,5.0,7.99,29.89,,36.99,54.56,,,
